,center,focus,best_FDC,size,depth
14526,Miguel Torres Garcia,Ángela Molina,16.86529031129172,135,4
14527,Ajit Sandhu,Doug Cockle,-1.3834527861158346,6,2
14528,Andrzej Szewczak,Marta Chodorowska,-1.7513322272872769,5,2
14529,Miriam Arenas,Jorge Sanz,8.920120125774337,81,4
14530,Raymund Coy,Jorge Sanz,8.920120125774337,81,4
14531,Jefferson Antonio,Everaldo Pontes,3.880689061139243,90,4
14532,Kojiro Shinohara,Tasuku Emoto,30.13845094902547,242,4
14533,Kuwayama 'Bob' Yoshihisa,Tasuku Emoto,30.13845094902547,242,4
14534,Yoshi Amao,Tasuku Emoto,30.13845094902547,242,4
14535,Ali Reza Amini,Hamed Behdad,9.190771767935507,148,4
14536,Gholam Ali Amini,Hamed Behdad,9.190771767935507,148,4
14537,Ghorban Ahmadi Galdi,Hamed Behdad,9.190771767935507,148,4
14538,Kal Parekh,Monica Dogra,-0.6476939037729498,8,2
14539,Rahsaan Islam,Monica Dogra,-0.6476939037729498,8,2
14540,Nitin Pandit,Neha Chauhan,-0.6476939037729498,8,2
14541,Rajveer Singh,Neha Chauhan,-0.6476939037729498,8,2
14542,Rashmi Singh Somvanshi,Neha Chauhan,-0.6476939037729498,8,2
14543,Daniel O'Neill,Priya Suandokemai,-3.7822686457309747,12,2
14544,Gwion Jacob Miles,Priya Suandokemai,-3.7822686457309747,12,2
14545,Raimund Huber,Priya Suandokemai,-3.7822686457309747,12,2
14546,Guk Srisawat,Kazu Patrick Tang,1.9274621844271465,15,2
14547,Johan Kirsten,Kazu Patrick Tang,1.9274621844271465,15,2
14548,Macha Polivka,Kazu Patrick Tang,1.9274621844271465,15,2
14549,Hannes Võrno,Jan Uuspõld,0.4559444197413772,11,2
14550,Ankit Raaj,Rajit Kapoor,7.400639700522168,50,3
14551,Hasleen Kaur,Rajit Kapoor,7.400639700522168,50,3
14552,Shiv Darshan,Rajit Kapoor,7.400639700522168,50,3
14553,Tanya Malik,Rajit Kapoor,7.400639700522168,50,3
14554,Jim Ford,Kat Castaneda,-1.0155733449443922,7,2
14555,Raymond A. Leone,Kat Castaneda,-1.0155733449443922,7,2
14556,Robert Rivera,Kat Castaneda,-1.0155733449443922,7,2
14557,Martine Maes,Maurice Luijten,-1.0155733449443922,7,2
14558,Robyn Isaac,Maurice Luijten,-1.0155733449443922,7,2
14559,Barbara Rosenblat,Ralph Bakshi,-0.27981446260150744,9,2
14560,Craig Marin,Ralph Bakshi,-0.27981446260150744,9,2
14561,Jodi Daley,Ralph Bakshi,-0.27981446260150744,9,2
14562,Lindsey Brook,Austin Rogers,0.8238238609128196,12,2
14563,London Smith,Austin Rogers,0.8238238609128196,12,2
14564,Michele Ashton,Austin Rogers,0.8238238609128196,12,2
14565,Priscilla Smith,Austin Rogers,0.8238238609128196,12,2
14566,Mpumi Malatsi,Pamela Nomvete,-1.0155733449443922,7,2
14567,Sophie Mgcina,Pamela Nomvete,-1.0155733449443922,7,2
14568,Abhit Patil,Sayaji Shinde,40.61433055705909,306,4
14569,Gauri Nalawade,Sayaji Shinde,40.61433055705909,306,4
14570,Sagar Karande,Sayaji Shinde,40.61433055705909,306,4
14571,Chandrika,Devika Madhavan,-0.27981446260150744,9,2
14572,Sachu,Devika Madhavan,-0.27981446260150744,9,2
14573,Diana Franco Galindo,Souleymane Sy Savane,-0.27981446260150744,9,2
14574,Lane 'Roc' Williams,Souleymane Sy Savane,-0.27981446260150744,9,2
14575,Mamadou Lam,Souleymane Sy Savane,-0.27981446260150744,9,2
14576,Red West,Souleymane Sy Savane,-0.27981446260150744,9,2
14577,Emre Yetim,Suna Selen,-0.6476939037729498,8,2
14578,Matthew Cooper,Andrew von Urtz,-1.0155733449443922,7,2
14579,Riva Di Paola,Andrew von Urtz,-1.0155733449443922,7,2
14580,Benjamín Prado,John Leguizamo,53.4395784876281,584,5
14581,Caco Senante,John Leguizamo,53.4395784876281,584,5
14582,Javier Krahe,John Leguizamo,53.4395784876281,584,5
14583,Olga Román,John Leguizamo,53.4395784876281,584,5
14584,Anna Enquist,Emio Greco,-1.7513322272872769,5,2
14585,Pieter Jan Leusink,Emio Greco,-1.7513322272872769,5,2
14586,Benjamin Lee Estavan,Maya Gilbert,-0.27981446260150744,9,2
14587,Cassidy Brown,Maya Gilbert,-0.27981446260150744,9,2
14588,Ramon Hamilton,Maya Gilbert,-0.27981446260150744,9,2
14589,Omid Abdollahi,Hedayat Hashemi,0.08806497856993488,10,2
14590,Jorge Bofill,Miquel Bordoy,0.08806497856993488,10,2
14591,Rosa Flores,Miquel Bordoy,0.08806497856993488,10,2
14592,Sara grey,Miquel Bordoy,0.08806497856993488,10,2
14593,Zayn Khalaf,Ziad Bakri,-1.3834527861158346,6,2
14594,Adrian Davis,Meredith MacNeill,-1.804441273100473,30,3
14595,J. Andrew Hartman,Meredith MacNeill,-1.804441273100473,30,3
14596,Robbie Church,Meredith MacNeill,-1.804441273100473,30,3
14597,Arthur Lambert,Martin Mull,2.4612797876256822,47,3
14598,Celia Birtwell,Martin Mull,2.4612797876256822,47,3
14599,Colin Self,Martin Mull,2.4612797876256822,47,3
14600,Don Bachardy,Martin Mull,2.4612797876256822,47,3
14601,Amy Humphrey,Lisa Niemi,-0.6476939037729498,8,2
14602,Frank Tabbita,Lisa Niemi,-0.6476939037729498,8,2
14603,Vincent Balestri,Lisa Niemi,-0.6476939037729498,8,2
14604,Chris Lee Chih Cheng,Jimmy Wong,0.08806497856993488,10,2
14605,Mico Chang,Jimmy Wong,0.08806497856993488,10,2
14606,Yuan Shuai,Jimmy Wong,0.08806497856993488,10,2
14607,Brent Sullivan,Beth Stelling,2.6632210667700313,17,2
14608,Danny Solomon,Beth Stelling,2.6632210667700313,17,2
14609,Tom Sibley,Beth Stelling,2.6632210667700313,17,2
14610,Bryn Bridenthal,Steven Adler,0.8238238609128196,12,2
14611,Jonathan Brown-Tea,Steven Adler,0.8238238609128196,12,2
14612,Marc Canter,Steven Adler,0.8238238609128196,12,2
14613,W. Axl Rose,Steven Adler,0.8238238609128196,12,2
14614,Jack Cashill,Michael Behe,0.4559444197413772,11,2
14615,John Calvert,Michael Behe,0.4559444197413772,11,2
14616,Tom Givnish,Michael Behe,0.4559444197413772,11,2
14617,Elizabeth Schmidt,Carl T. Evans,-0.6476939037729498,8,2
14618,Jarrod Pistilli,Carl T. Evans,-0.6476939037729498,8,2
